ID;Название;URL;Тип;Бренд;Гарантия;Возможна скидка;Описание;Популярные подборки;Баннер (в карточке товара);Карта заказа;Тип прибора
344920;Б.П.1.16Х1,5.40.2;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-16kh1-5-40-2/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
344922;Б.П.1.20Х1,5.100.1;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-20kh1-5-100-1/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
344902;Б.П.1.20Х1,5.25.1;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-20kh1-5-25-1/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
344878;Б.П.1.20Х1,5.25.2;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-20kh1-5-25-2/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
344884;Б.П.1.20Х1,5.30.1;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-20kh1-5-30-1/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
344850;Б.П.1.20х1,5.40.1;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-20kh1-5-40-1/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
344912;Б.П.1.20Х1,5.40.2;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-20kh1-5-40-2/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
344870;Б.П.1.20Х1,5.50.1;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-20kh1-5-50-1/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
344918;Б.П.1.20Х1,5.50.2;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-20kh1-5-50-2/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
344888;Б.П.1.20Х1,5.55.1;https://www.souz-pribor.ru/catalog/industrial_automation/armatura-dlya-termopreobrazovateley/b-p-1-20kh1-5-55-1/;бобышка;Owen;6;Да;"<p> Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки. </p> <p> <strong>В бобышку можно установить:</strong> </p> <ul> <li>термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно; </li> <li>защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095; </li> <li>датчик уровня ДС.1, ДС.К, ДС.П;</li> <li>преобразователь давления ПД100, ПД200-ДИ.</li> </ul> <br> <p> Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. </p>";Бобышки к датчикам температуры;456717;"<img width=""800"" src=""/upload/medialibrary/89e/Karta_podbora_15_11_19_1.png"" height=""706"" title=""Карта-подбора-15-11-19-1.png"">";Бобышка приварная
